n,theory_size,theory_clos_size,systematicity,systematicity_type,gamma,alpha,beta
7,3,4,0.73734375,sys_mm,0.95,,
7,3,5,0.8319000000000001,sys_mm,0.95,,
7,3,6,0.883263888888889,sys_mm,0.95,,
7,3,7,0.9142346938775511,sys_mm,0.95,,
7,4,4,0.4185937500000001,sys_mm,0.95,,
7,4,5,0.6279,sys_mm,0.95,,
7,4,6,0.7415972222222222,sys_mm,0.95,,
7,4,7,0.8101530612244898,sys_mm,0.95,,
7,5,5,0.3439000000000001,sys_mm,0.95,,
7,5,6,0.544375,sys_mm,0.95,,
7,5,7,0.6652551020408164,sys_mm,0.95,,
7,6,6,0.2915972222222222,sys_mm,0.95,,
7,6,7,0.47954081632653067,sys_mm,0.95,,
7,7,7,0.2530102040816328,sys_mm,0.95,,
7,1,1,0.9999,sys_mm,0.99,,
7,1,2,0.999975,sys_mm,0.99,,
7,1,3,0.9999888888888889,sys_mm,0.99,,
7,1,4,0.99999375,sys_mm,0.99,,
7,1,5,0.999996,sys_mm,0.99,,
7,1,6,0.9999972222222222,sys_mm,0.99,,
7,1,7,0.9999979591836735,sys_mm,0.99,,
7,2,2,0.7449749999999999,sys_mm,0.99,,
7,2,3,0.8866555555555555,sys_mm,0.99,,
7,2,4,0.93624375,sys_mm,0.99,,
7,2,5,0.9591959999999999,sys_mm,0.99,,
7,2,6,0.9716638888888889,sys_mm,0.99,,
7,2,7,0.9791816326530612,sys_mm,0.99,,
7,3,3,0.5511000000000001,sys_mm,0.99,,
7,3,4,0.7474937500000001,sys_mm,0.99,,
7,3,5,0.838396,sys_mm,0.99,,
7,3,6,0.887775,sys_mm,0.99,,
7,3,7,0.9175489795918368,sys_mm,0.99,,
7,4,4,0.4337437500000001,sys_mm,0.99,,
7,4,5,0.637596,sys_mm,0.99,,
7,4,6,0.7483305555555556,sys_mm,0.99,,
7,4,7,0.8151,sys_mm,0.99,,
7,5,5,0.3567960000000001,sys_mm,0.99,,
7,5,6,0.5533305555555555,sys_mm,0.99,,
7,5,7,0.671834693877551,sys_mm,0.99,,
7,6,6,0.302775,sys_mm,0.99,,
7,6,7,0.4877530612244899,sys_mm,0.99,,
7,7,7,0.2628551020408164,sys_mm,0.99,,
7,1,1,0.0,sys_ec,,,
7,1,2,0.16666666666666666,sys_ec,,,
7,1,3,0.3333333333333333,sys_ec,,,
7,1,4,0.5,sys_ec,,,
7,1,5,0.6666666666666666,sys_ec,,,
7,1,6,0.8333333333333334,sys_ec,,,
7,1,7,1.0,sys_ec,,,
7,2,2,0.0,sys_ec,,,
7,2,3,0.16666666666666666,sys_ec,,,
7,2,4,0.3333333333333333,sys_ec,,,
7,2,5,0.5,sys_ec,,,
7,2,6,0.6666666666666666,sys_ec,,,
7,2,7,0.8333333333333334,sys_ec,,,
7,3,3,0.0,sys_ec,,,
7,3,4,0.16666666666666666,sys_ec,,,
7,3,5,0.3333333333333333,sys_ec,,,
7,3,6,0.5,sys_ec,,,
7,3,7,0.6666666666666666,sys_ec,,,
7,4,4,0.0,sys_ec,,,
7,4,5,0.16666666666666666,sys_ec,,,
7,4,6,0.3333333333333333,sys_ec,,,
7,4,7,0.5,sys_ec,,,
7,5,5,0.0,sys_ec,,,
7,5,6,0.16666666666666666,sys_ec,,,
7,5,7,0.3333333333333333,sys_ec,,,
7,6,6,0.0,sys_ec,,,
7,6,7,0.16666666666666666,sys_ec,,,
7,7,7,0.0,sys_ec,,,
7,1,1,0.0,sys_ec_2,,,
7,1,2,0.30555555555555547,sys_ec_2,,,
7,1,3,0.5555555555555555,sys_ec_2,,,
7,1,4,0.75,sys_ec_2,,,
7,1,5,0.8888888888888888,sys_ec_2,,,
7,1,6,0.9722222222222222,sys_ec_2,,,
7,1,7,1.0,sys_ec_2,,,
7,2,2,0.0,sys_ec_2,,,
7,2,3,0.30555555555555547,sys_ec_2,,,
7,2,4,0.5555555555555555,sys_ec_2,,,
7,2,5,0.75,sys_ec_2,,,
7,2,6,0.8888888888888888,sys_ec_2,,,
7,2,7,0.9722222222222222,sys_ec_2,,,
7,3,3,0.0,sys_ec_2,,,
7,3,4,0.30555555555555547,sys_ec_2,,,
7,3,5,0.5555555555555555,sys_ec_2,,,
7,3,6,0.75,sys_ec_2,,,
7,3,7,0.8888888888888888,sys_ec_2,,,
7,4,4,0.0,sys_ec_2,,,
7,4,5,0.30555555555555547,sys_ec_2,,,
7,4,6,0.5555555555555555,sys_ec_2,,,
7,4,7,0.75,sys_ec_2,,,
7,5,5,0.0,sys_ec_2,,,
7,5,6,0.30555555555555547,sys_ec_2,,,
7,5,7,0.5555555555555555,sys_ec_2,,,
7,6,6,0.0,sys_ec_2,,,
7,6,7,0.30555555555555547,sys_ec_2,,,
7,7,7,0.0,sys_ec_2,,,
7,1,1,0.0,sys_csw_alpha,,0.1,
7,1,2,0.021739130434782483,sys_csw_alpha,,0.1,
7,1,3,0.05263157894736825,sys_csw_alpha,,0.1,
7,1,4,0.09999999999999976,sys_csw_alpha,,0.1,
7,1,5,0.18181818181818166,sys_csw_alpha,,0.1,
7,1,6,0.35714285714285665,sys_csw_alpha,,0.1,
7,1,7,1.0,sys_csw_alpha,,0.1,
7,2,2,0.0,sys_csw_alpha,,0.1,
7,2,3,0.02631578947368396,sys_csw_alpha,,0.1,
7,2,4,0.06666666666666643,sys_csw_alpha,,0.1,
7,2,5,0.13636363636363624,sys_csw_alpha,,0.1,
7,2,6,0.28571428571428525,sys_csw_alpha,,0.1,
7,2,7,0.8333333333333331,sys_csw_alpha,,0.1,
7,3,3,-2.220446049250313e-16,sys_csw_alpha,,0.1,
7,3,4,0.033333333333333104,sys_csw_alpha,,0.1,
7,3,5,0.09090909090909083,sys_csw_alpha,,0.1,
7,3,6,0.21428571428571364,sys_csw_alpha,,0.1,
7,3,7,0.6666666666666663,sys_csw_alpha,,0.1,
7,4,4,-2.220446049250313e-16,sys_csw_alpha,,0.1,
7,4,5,0.0454545454545453,sys_csw_alpha,,0.1,
7,4,6,0.14285714285714213,sys_csw_alpha,,0.1,
7,4,7,0.49999999999999933,sys_csw_alpha,,0.1,
7,5,5,-2.220446049250313e-16,sys_csw_alpha,,0.1,
7,5,6,0.07142857142857073,sys_csw_alpha,,0.1,
7,5,7,0.3333333333333325,sys_csw_alpha,,0.1,
7,6,6,-6.661338147750939e-16,sys_csw_alpha,,0.1,
7,6,7,0.16666666666666574,sys_csw_alpha,,0.1,
7,7,7,-1.3322676295501878e-15,sys_csw_alpha,,0.1,
7,1,1,0.0,sys_csw_alpha,,0.3,
7,1,2,0.07894736842105254,sys_csw_alpha,,0.3,
7,1,3,0.17647058823529405,sys_csw_alpha,,0.3,
7,1,4,0.30000000000000004,sys_csw_alpha,,0.3,
7,1,5,0.46153846153846145,sys_csw_alpha,,0.3,
7,1,6,0.6818181818181817,sys_csw_alpha,,0.3,
7,1,7,1.0,sys_csw_alpha,,0.3,
7,2,2,0.0,sys_csw_alpha,,0.3,
7,2,3,0.08823529411764697,sys_csw_alpha,,0.3,
7,2,4,0.20000000000000007,sys_csw_alpha,,0.3,
7,2,5,0.34615384615384603,sys_csw_alpha,,0.3,
7,2,6,0.5454545454545453,sys_csw_alpha,,0.3,
7,2,7,0.8333333333333333,sys_csw_alpha,,0.3,
7,3,3,-2.220446049250313e-16,sys_csw_alpha,,0.3,
7,3,4,0.09999999999999998,sys_csw_alpha,,0.3,
7,3,5,0.23076923076923062,sys_csw_alpha,,0.3,
7,3,6,0.40909090909090895,sys_csw_alpha,,0.3,
7,3,7,0.6666666666666665,sys_csw_alpha,,0.3,
7,4,4,0.0,sys_csw_alpha,,0.3,
7,4,5,0.11538461538461531,sys_csw_alpha,,0.3,
7,4,6,0.2727272727272726,sys_csw_alpha,,0.3,
7,4,7,0.4999999999999998,sys_csw_alpha,,0.3,
7,5,5,0.0,sys_csw_alpha,,0.3,
7,5,6,0.13636363636363613,sys_csw_alpha,,0.3,
7,5,7,0.33333333333333304,sys_csw_alpha,,0.3,
7,6,6,-4.440892098500626e-16,sys_csw_alpha,,0.3,
7,6,7,0.1666666666666663,sys_csw_alpha,,0.3,
7,7,7,-4.440892098500626e-16,sys_csw_alpha,,0.3,
7,1,1,0.0,sys_csw_alpha,,0.5,
7,1,2,0.16666666666666663,sys_csw_alpha,,0.5,
7,1,3,0.33333333333333337,sys_csw_alpha,,0.5,
7,1,4,0.5,sys_csw_alpha,,0.5,
7,1,5,0.6666666666666667,sys_csw_alpha,,0.5,
7,1,6,0.8333333333333334,sys_csw_alpha,,0.5,
7,1,7,1.0,sys_csw_alpha,,0.5,
7,2,2,0.0,sys_csw_alpha,,0.5,
7,2,3,0.16666666666666663,sys_csw_alpha,,0.5,
7,2,4,0.33333333333333337,sys_csw_alpha,,0.5,
7,2,5,0.5,sys_csw_alpha,,0.5,
7,2,6,0.6666666666666667,sys_csw_alpha,,0.5,
7,2,7,0.8333333333333334,sys_csw_alpha,,0.5,
7,3,3,0.0,sys_csw_alpha,,0.5,
7,3,4,0.16666666666666663,sys_csw_alpha,,0.5,
7,3,5,0.33333333333333337,sys_csw_alpha,,0.5,
7,3,6,0.5,sys_csw_alpha,,0.5,
7,3,7,0.6666666666666667,sys_csw_alpha,,0.5,
7,4,4,0.0,sys_csw_alpha,,0.5,
7,4,5,0.16666666666666663,sys_csw_alpha,,0.5,
7,4,6,0.33333333333333337,sys_csw_alpha,,0.5,
7,4,7,0.5,sys_csw_alpha,,0.5,
7,5,5,0.0,sys_csw_alpha,,0.5,
7,5,6,0.16666666666666663,sys_csw_alpha,,0.5,
7,5,7,0.33333333333333337,sys_csw_alpha,,0.5,
7,6,6,0.0,sys_csw_alpha,,0.5,
7,6,7,0.16666666666666663,sys_csw_alpha,,0.5,
7,7,7,0.0,sys_csw_alpha,,0.5,
7,1,1,1.1102230246251565e-16,sys_csw_alpha,,0.7,
7,1,2,0.3181818181818181,sys_csw_alpha,,0.7,
7,1,3,0.5384615384615385,sys_csw_alpha,,0.7,
7,1,4,0.7,sys_csw_alpha,,0.7,
7,1,5,0.8235294117647058,sys_csw_alpha,,0.7,
7,1,6,0.9210526315789473,sys_csw_alpha,,0.7,
7,1,7,1.0,sys_csw_alpha,,0.7,
7,2,2,0.0,sys_csw_alpha,,0.7,
7,2,3,0.2692307692307694,sys_csw_alpha,,0.7,
7,2,4,0.4666666666666667,sys_csw_alpha,,0.7,
7,2,5,0.6176470588235293,sys_csw_alpha,,0.7,
7,2,6,0.736842105263158,sys_csw_alpha,,0.7,
7,2,7,0.8333333333333334,sys_csw_alpha,,0.7,
7,3,3,2.220446049250313e-16,sys_csw_alpha,,0.7,
7,3,4,0.2333333333333334,sys_csw_alpha,,0.7,
7,3,5,0.4117647058823528,sys_csw_alpha,,0.7,
7,3,6,0.5526315789473684,sys_csw_alpha,,0.7,
7,3,7,0.6666666666666667,sys_csw_alpha,,0.7,
7,4,4,0.0,sys_csw_alpha,,0.7,
7,4,5,0.2058823529411764,sys_csw_alpha,,0.7,
7,4,6,0.3684210526315791,sys_csw_alpha,,0.7,
7,4,7,0.5000000000000001,sys_csw_alpha,,0.7,
7,5,5,-2.220446049250313e-16,sys_csw_alpha,,0.7,
7,5,6,0.1842105263157895,sys_csw_alpha,,0.7,
7,5,7,0.33333333333333337,sys_csw_alpha,,0.7,
7,6,6,0.0,sys_csw_alpha,,0.7,
7,6,7,0.16666666666666674,sys_csw_alpha,,0.7,
7,7,7,2.220446049250313e-16,sys_csw_alpha,,0.7,
7,1,1,2.220446049250313e-16,sys_csw_alpha,,0.9,
7,1,2,0.6428571428571429,sys_csw_alpha,,0.9,
7,1,3,0.8181818181818182,sys_csw_alpha,,0.9,
7,1,4,0.9,sys_csw_alpha,,0.9,
7,1,5,0.9473684210526316,sys_csw_alpha,,0.9,
7,1,6,0.9782608695652174,sys_csw_alpha,,0.9,
7,1,7,1.0,sys_csw_alpha,,0.9,
7,2,2,0.0,sys_csw_alpha,,0.9,
7,2,3,0.40909090909090917,sys_csw_alpha,,0.9,
7,2,4,0.6000000000000001,sys_csw_alpha,,0.9,
7,2,5,0.7105263157894737,sys_csw_alpha,,0.9,
7,2,6,0.782608695652174,sys_csw_alpha,,0.9,
7,2,7,0.8333333333333334,sys_csw_alpha,,0.9,
7,3,3,0.0,sys_csw_alpha,,0.9,
7,3,4,0.29999999999999993,sys_csw_alpha,,0.9,
7,3,5,0.4736842105263158,sys_csw_alpha,,0.9,
7,3,6,0.5869565217391305,sys_csw_alpha,,0.9,
7,3,7,0.6666666666666667,sys_csw_alpha,,0.9,
7,4,4,0.0,sys_csw_alpha,,0.9,
7,4,5,0.23684210526315785,sys_csw_alpha,,0.9,
7,4,6,0.3913043478260869,sys_csw_alpha,,0.9,
7,4,7,0.5,sys_csw_alpha,,0.9,
7,5,5,1.1102230246251565e-16,sys_csw_alpha,,0.9,
7,5,6,0.19565217391304357,sys_csw_alpha,,0.9,
7,5,7,0.33333333333333337,sys_csw_alpha,,0.9,
7,6,6,2.220446049250313e-16,sys_csw_alpha,,0.9,
7,6,7,0.16666666666666674,sys_csw_alpha,,0.9,
7,7,7,0.0,sys_csw_alpha,,0.9,
7,1,1,0.0,sys_csw_beta,,,0.1
7,1,2,0.16666666666666674,sys_csw_beta,,,0.1
7,1,3,0.33333333333333337,sys_csw_beta,,,0.1
7,1,4,0.5,sys_csw_beta,,,0.1
7,1,5,0.6666666666666667,sys_csw_beta,,,0.1
7,1,6,0.8333333333333334,sys_csw_beta,,,0.1
7,1,7,1.0,sys_csw_beta,,,0.1
7,2,2,0.14814814814814825,sys_csw_beta,,,0.1
7,2,3,0.3148148148148149,sys_csw_beta,,,0.1
7,2,4,0.4814814814814815,sys_csw_beta,,,0.1
7,2,5,0.6481481481481481,sys_csw_beta,,,0.1
7,2,6,0.8148148148148149,sys_csw_beta,,,0.1
7,2,7,0.9814814814814815,sys_csw_beta,,,0.1
7,3,3,0.2962962962962963,sys_csw_beta,,,0.1
